,FERARI__T-end,Decay%__T-end,Cracks__T-end,Acceptance_Score__T-end,Firmness___T-end,Bleaching__T-end,Cluster weight__T-end,weight_loss__T-end,Shattering(%)__T-end,FER_RG__T-end,Shatter__T-end,Decay__T-end,Rachis_Score__T-end
172,0.6119,0.0,3,3.5,2.695833,1,701.95,1.8567453826041933,0.0,3.496,0,0.0,0.3
173,0.5728,0.0,2,3.5,1.4510566,1,663.64,3.0602258285981456,0.0,3.273,0,0.0,0.3
174,0.4384,4.338406542815361,2,2.0,2.1570486,1,553.89,2.0738304868993347,0.36108252541118274,3.577,2,3.0,0.7
175,0.562,0.0,3,3.0,3.1386165999999998,1,650.9,1.1646446087735658,0.15363343063450607,3.868,1,0.0,0.3
176,0.4812,1.1149311693554,1,3.0,2.4561935999999998,1,718.43,1.3023588080944097,0.13919240566234709,2.862,1,1.0,0.4
177,0.6126,0.0,1,3.0,1.7552780000000001,1,690.7,2.033927153069318,0.0,4.119,0,0.0,0.5
178,0.5344,1.1945239799570508,2,3.0,1.3301246,1,670.56,2.4001164398515407,0.0,4.104,0,1.0,0.5
179,0.6334,1.1749347258485638,2,3.0,2.4900428,1,681.74,1.3586445386540862,0.0,4.002,0,1.0,0.5
180,0.4207,2.5038292019630517,3,2.5,1.79389,1,639.82,2.1188061254149506,0.31258791535119246,2.651,2,2.0,0.7
181,0.5344,1.218510405257393,2,3.5,1.1531954,1,657.36,2.0269464647669047,0.0,3.703,0,1.0,0.3
182,0.8838,0.0,2,2.5,1.5875313999999998,1,681.04,0.5650377421851053,0.14683425349465523,3.544,1,0.0,0.6
183,0.6535,0.0,2,3.5,1.0198566,1,691.55,1.1817324454859957,0.0,3.609,0,0.0,0.3
184,0.6698,0.0,1,3.0,2.0144096,1,658.07,0.9721156305960488,0.0,3.101,0,0.0,0.6
185,0.6927,0.0,1,3.0,1.8266612,1,598.25,2.7425542983482902,0.0,3.105,0,0.0,0.5
186,0.7039,1.1796238752337893,2,3.0,2.1854196,1,679.03,1.789123517500724,0.2945377965627439,4.455,2,1.0,0.4
187,0.516,2.5106569709127378,1,3.0,1.9673108000000001,1,638.08,2.113950848341664,0.0,3.803,0,2.0,0.3
188,0.8017,1.2487722744492775,2,3.0,1.6958214,1,641.43,0.9129669107424354,0.0,3.582,0,1.0,0.6
189,0.5807,8.155161881490532,1,2.5,2.7831118,1,687.54,2.1142100542433724,0.0,4.678,0,7.0,0.2
190,0.6247,8.563573883161512,1,2.0,2.5340839999999996,1,654.75,1.2026195074843111,0.15273004963726614,3.424,1,7.0,0.4
191,0.6828,8.889981132374626,1,1.0,1.0309796,1,630.71,4.873156164218266,0.15855147373594836,4.686,1,7.0,0.9
192,0.5378,22.622409846300204,2,1.0,2.223865,1,672.74,2.1027663382761745,0.0,2.504,0,19.0,0.3
193,0.6229,8.615814868311872,2,1.5,2.2615656,1,650.78,1.9747247284941802,0.1536617597344725,3.739,1,7.0,0.5
194,0.6896,4.660228066092623,3,2.0,1.6221253999999998,1,687.52,0.7606922732718403,0.14545031417267862,3.825,1,4.0,0.5
195,0.4376,18.41492198755479,3,1.0,2.8954296,1,652.46,1.318854169817586,0.0,3.45,0,15.0,0.4
196,0.4756,23.85703648548027,1,1.0,1.19364,1,671.5,3.975403975403969,0.0,2.92,0,20.0,0.6
197,0.4272,17.036598149582975,1,1.0,1.2679729999999998,1,658.23,4.3437191187583535,0.0,2.961,0,14.0,0.7
198,0.6538,4.293294741919922,2,2.0,1.7866967999999999,2,559.71,3.606303280805983,0.0,4.075,0,3.0,0.5
199,0.5159,1.14705503286506,2,1.5,1.208095,1,698.31,1.9475413519054179,0.14320287551374034,3.53,1,1.0,0.7
200,0.51,4.7219029091873725,1,2.5,1.5006053999999998,2,678.54,2.385199677753487,0.29475049370707695,2.583,2,4.0,0.4
201,0.7424,0.0,1,1.5,1.0622024,1,661.04,3.148579549616868,0.1512767759893501,3.792,1,0.0,0.9
202,0.6246,15.695702636299233,1,1.5,1.7674986,1,663.43,3.008727942573945,0.15073180290309454,4.053,1,13.0,0.7
203,0.5826,11.202797202797203,2,1.5,1.9876555999999999,1,643.5,7.9794079794079735,0.1554001554001554,2.939,1,9.0,0.7
204,0.4673,17.117916851605266,2,1.0,3.0137254,2,608.31,11.598267743998148,0.0,2.992,0,13.0,0.4
205,0.6033,4.859478561570079,1,1.0,0.9403296,1,659.33,6.34289158701454,0.303338237301503,3.014,2,4.0,1.0
206,0.5762,4.572700804932352,2,3.0,1.5689309999999999,1,700.68,1.6147603134039148,0.0,3.204,0,4.0,0.3
207,0.7478,0.0,2,2.0,1.6583266,1,658.95,5.203418114857861,0.0,3.729,0,0.0,0.8
208,0.5212,8.63026982099155,2,1.5,1.049188,1,649.69,4.811510116771412,0.3078391232741769,3.283,2,7.0,0.7
209,0.663,0.0,1,3.5,1.2617206,1,673.8,1.4926682358445105,0.0,4.552,0,0.0,0.3
210,0.8183,4.333321311357161,1,3.0,1.3796048,1,554.54,2.3049807031938605,0.0,3.652,0,3.0,0.4
211,0.5903,5.673849292362616,1,2.0,2.191035,1,705.87,4.211522726178826,0.566676583506878,3.509,4,5.0,0.7
212,0.5264,1.1745384694341392,1,2.5,1.8993086,1,681.97,2.645943461273265,0.0,4.623,0,1.0,0.7
213,0.8121,0.0,1,3.0,1.7450957999999999,1,666.37,1.8398283574764067,0.30013355943394815,3.534,2,0.0,0.5
214,0.7267,2.568583751543234,2,3.0,1.6217922,1,623.69,2.332111266294223,0.0,4.231,0,2.0,0.5
215,0.903,9.520979436586236,2,2.0,1.8913411999999998,1,673.04,2.4628639334521747,0.0,3.674,0,8.0,0.4
