,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
73,9,0.4513,0.091,14.2,1,5.0,0,4.07,537.01,0.0,2.7930767814951794,14.2
74,9,0.2885,0.091,14.1,1,5.0,0,2.314,726.4,0.0,2.2596456173326787,14.1
75,9,0.3178,0.091,18.4,1,5.0,0,2.665,741.23,0.0,2.318182637146023,18.4
76,9,0.3757,0.091,17.1,1,5.0,0,2.988,573.4,0.0,1.8382332413858133,17.1
77,9,0.2176,0.091,17.4,1,5.0,0,2.384,716.16,0.0,1.7808026644210755,17.4
78,9,0.5169,0.091,18.4,1,5.0,0,3.646,719.48,0.0,2.0442913526138664,18.4
79,9,0.5135,0.091,18.3,1,5.0,0,3.597,716.3,0.0,2.2683261560054158,18.3
80,9,0.5181,0.091,16.7,1,5.0,0,4.103,674.53,0.0,2.634904444512804,16.7
81,9,0.3784,0.091,19.0,1,5.0,0,3.088,502.46,0.0,2.215907386162772,19.0
82,9,0.3625,0.091,16.0,1,5.0,0,3.032,750.49,0.0,2.7913667403340074,16.0
83,9,0.5521,0.091,15.7,1,5.0,0,4.253,717.46,0.0,1.9031953942322952,15.7
84,12,0.6286,0.09,17.1,1,5.0,0,4.631,744.0,0.0,2.629538612653019,17.1
85,12,0.6218,0.09,17.6,1,4.5,0,4.541,723.47,0.0,3.5362514266747023,17.6
86,12,0.5219,0.09,19.2,1,5.0,0,5.122,617.64,0.1,2.192909643411446,19.2
87,12,0.4519,0.09,18.8,1,5.0,0,3.962,658.2,0.0,2.6400558279675126,18.8
88,12,0.306,0.09,17.3,1,5.0,0,2.489,738.09,0.0,1.869603715400866,17.3
89,12,0.6548,0.09,15.4,1,5.0,0,4.199,708.88,0.0,3.166682877001697,15.4
90,12,0.6214,0.09,17.1,1,5.0,0,3.681,725.9,0.0,2.3550418811151506,8.55
91,12,0.4095,0.09,18.3,1,5.0,0,3.611,659.06,0.0,1.9990177817851997,9.15
92,12,0.4647,0.09,16.3,1,5.0,0,3.622,704.12,0.0,3.182250721994375,8.15
93,12,0.5311,0.09,19.2,1,5.0,0,4.611,762.87,0.0,1.4427081155793675,9.6
94,12,0.5383,0.09,17.2,1,5.0,0,3.531,657.64,0.0,2.445104665167914,8.6
95,12,0.6168,0.09,19.1,1,5.0,0,3.657,779.19,0.0,2.4585705460522114,9.55
96,12,0.5178,0.09,17.7,1,5.0,0,3.962,789.94,0.0,1.7974584653308887,8.85
97,12,0.618,0.09,17.2,1,5.0,0,4.401,747.51,0.0,2.6123938324057683,8.6
98,12,0.3574,0.09,17.5,1,5.0,0,3.112,606.36,0.0,1.8114826515456446,8.75
99,12,0.6701,0.09,18.0,1,5.0,0,2.789,653.15,0.0,1.6952174151708614,9.0
100,12,0.5377,0.09,16.0,1,5.0,0,4.142,656.89,0.0,3.0725659088770962,8.0
101,12,0.5275,0.09,18.3,1,5.0,0,4.476,760.49,0.0,1.4658287964249839,9.15
102,12,0.546,0.09,17.4,1,5.0,0,3.988,654.2,0.0,2.4900815207464526,8.7
103,12,0.4435,0.09,17.4,1,5.0,0,3.713,726.09,0.0,3.1790977758318046,8.7
104,12,0.4291,0.09,18.6,1,5.0,0,3.036,730.27,0.0,2.85461423028645,9.3
105,12,0.1681,0.09,18.6,1,5.0,0,2.09,732.72,0.0,2.1494209858164135,9.3
106,12,0.4523,0.09,18.2,1,5.0,0,2.68,683.21,0.0,0.03921725207839752,9.1
107,12,0.4075,0.09,17.8,1,5.0,0,2.8,687.53,0.0,3.4037315558030516,8.9
108,12,0.5159,0.09,18.5,1,5.0,0,3.726,771.32,0.0,1.8145866073398151,9.25
109,12,0.6347,0.09,18.2,1,5.0,0,3.735,728.17,0.0,2.9347014661168536,9.1
110,12,0.3881,0.09,16.9,1,5.0,0,3.296,717.84,0.0,1.847105119799287,8.45
111,12,0.5969,0.09,17.2,1,5.0,0,5.183,700.99,0.0,1.8713303948003628,8.6
112,3,0.667,0.087,19.4,1,5.0,0,2.863,758.03,0.0,1.5779261540993759,9.7
113,3,0.6233,0.087,17.9,1,5.0,0,4.623,634.99,0.0,2.2478574254794768,8.95
114,3,0.6342,0.087,19.1,1,5.0,0,3.493,747.74,0.0,2.632425347002392,9.55
115,3,0.1131,0.087,15.4,1,5.0,0,2.746,712.62,0.0,2.2680941450154406,7.7
116,3,0.4504,0.087,17.2,1,5.0,0,3.909,676.24,0.0,2.1547572385858427,8.6
117,3,0.2758,0.087,16.2,1,5.0,0,3.377,667.73,0.0,1.7395842020108203,8.1
118,3,0.8797,0.087,17.5,1,5.0,0,4.85,685.24,0.0,2.256341078332036,8.75
119,3,0.7546,0.087,16.6,1,5.0,0,4.513,700.28,0.0,2.0525892118051305,8.3
120,3,0.5289,0.087,16.2,1,5.0,0,3.772,581.48,0.0,1.461086898502383,8.1
121,3,0.4931,0.087,18.7,1,5.0,0,3.34,634.37,0.0,2.1763675371301865,9.35
122,3,0.5462,0.087,16.5,1,5.0,0,4.185,594.11,0.0,1.726615619583123,8.25
123,3,0.61,0.087,16.5,1,5.0,0,5.66,660.62,0.0,2.0514790715702294,8.25
124,3,0.4776,0.087,17.4,1,5.0,0,5.395,668.93,0.0,2.179148895970168,8.7
125,3,0.4903,0.087,16.8,1,5.0,0,4.222,703.53,0.0,0.039031458417102635,8.4
